# Czas Amplituda
0.258333 -0.220000
0.261111 -0.266962
0.263889 -0.301962
0.266667 -0.280000
0.269444 -0.263038
0.272222 -0.278038
0.275000 -0.330000
0.277778 -0.401962
0.280556 -0.396962
0.283333 -0.375000
0.286111 -0.333038
0.288889 -0.328038
0.291667 -0.350000
0.294444 -0.391962
0.297222 -0.386962
0.300000 -0.340000
0.302778 -0.318038
0.305556 -0.333038
0.308333 -0.380000
0.311111 -0.421962
0.313889 -0.401962
0.316667 -0.355000
0.319444 -0.318038
0.322222 -0.328038
0.325000 -0.385000
0.327778 -0.431962
0.330556 -0.441962
0.333333 -0.390000
0.336111 -0.338038
0.338889 -0.333038
0.341667 -0.380000
0.344444 -0.451962
0.347222 -0.451962
0.350000 -0.400000
0.352778 -0.353038
0.355556 -0.393038
0.358333 -0.465000
0.361111 -0.501962
0.363889 -0.506962
0.366667 -0.490000
0.369444 -0.523038
0.372222 -0.573038
0.375000 -0.620000
0.377778 -0.621962
0.380556 -0.536962
0.383333 -0.375000
0.386111 -0.178038
0.388889 0.041962
0.391667 0.270000
0.394444 0.478038
0.397222 0.678038
0.400000 0.785000
0.402778 0.726962
0.405556 0.421962
0.408333 0.020000
0.411111 -0.346962
0.413889 -0.516962
0.416667 -0.515000
0.419444 -0.463038
0.422222 -0.423038
0.425000 -0.435000
0.427778 -0.456962
0.430556 -0.451962
0.433333 -0.405000
0.436111 -0.348038
0.438889 -0.318038
0.441667 -0.350000
0.444444 -0.386962
0.447222 -0.406962
0.450000 -0.365000
0.452778 -0.318038
0.455556 -0.318038
0.458333 -0.375000
0.461111 -0.451962
0.463889 -0.456962
0.466667 -0.385000
0.469444 -0.318038
0.472222 -0.288038
0.475000 -0.340000
0.477778 -0.391962
0.480556 -0.401962
0.483333 -0.345000
0.486111 -0.308038
0.488889 -0.323038
0.491667 -0.370000
0.494444 -0.391962
0.497222 -0.381962
0.500000 -0.350000
0.502778 -0.298038
0.505556 -0.283038
0.508333 -0.330000
0.511111 -0.376962
0.513889 -0.381962
0.516667 -0.340000
0.519444 -0.283038
0.522222 -0.288038
0.525000 -0.365000
0.527778 -0.441962
0.530556 -0.426962
0.533333 -0.350000
0.536111 -0.293038
0.538889 -0.278038
0.541667 -0.315000
0.544444 -0.361962
0.547222 -0.391962
0.550000 -0.370000
0.552778 -0.333038
0.555556 -0.313038
0.558333 -0.360000
0.561111 -0.411962
0.563889 -0.396962
0.566667 -0.315000
0.569444 -0.248038
0.572222 -0.223038
0.575000 -0.285000
0.577778 -0.341962
0.580556 -0.346962
0.583333 -0.315000
0.586111 -0.268038
0.588889 -0.263038
0.591667 -0.305000
0.594444 -0.351962
0.597222 -0.371962
0.600000 -0.325000
0.602778 -0.263038
0.605556 -0.223038
0.608333 -0.270000
0.611111 -0.341962
0.613889 -0.361962
0.616667 -0.300000
0.619444 -0.238038
0.622222 -0.223038
0.625000 -0.275000
0.627778 -0.331962
0.630556 -0.356962
0.633333 -0.340000
0.636111 -0.298038
0.638889 -0.288038
0.641667 -0.330000
0.644444 -0.386962
0.647222 -0.386962
0.650000 -0.335000
0.652778 -0.273038
0.655556 -0.253038
0.658333 -0.295000
0.661111 -0.346962
0.663889 -0.341962
0.666667 -0.300000
0.669444 -0.233038
0.672222 -0.213038
0.675000 -0.250000
0.677778 -0.296962
0.680556 -0.296962
0.683333 -0.235000
0.686111 -0.178038
0.688889 -0.168038
0.691667 -0.185000
0.694444 -0.221962
0.697222 -0.251962
0.700000 -0.205000
0.702778 -0.133038
0.705556 -0.093038
0.708333 -0.125000
0.711111 -0.186962
0.713889 -0.216962
0.716667 -0.185000
0.719444 -0.138038
0.722222 -0.103038
0.725000 -0.110000
0.727778 -0.141962
0.730556 -0.176962
0.733333 -0.130000
0.736111 -0.078038
0.738889 -0.073038
0.741667 -0.120000
0.744444 -0.181962
0.747222 -0.171962
0.750000 -0.095000
0.752778 -0.028038
0.755556 -0.033038
0.758333 -0.080000
0.761111 -0.141962
0.763889 -0.151962
0.766667 -0.130000
0.769444 -0.098038
0.772222 -0.083038
0.775000 -0.115000
0.777778 -0.166962
0.780556 -0.166962
0.783333 -0.145000
0.786111 -0.083038
0.788889 -0.053038
0.791667 -0.075000
0.794444 -0.136962
0.797222 -0.156962
0.800000 -0.135000
0.802778 -0.098038
0.805556 -0.073038
0.808333 -0.105000
0.811111 -0.151962
0.813889 -0.156962
0.816667 -0.125000
0.819444 -0.088038
0.822222 -0.083038
0.825000 -0.100000
0.827778 -0.166962
0.830556 -0.181962
0.833333 -0.145000
0.836111 -0.078038
0.838889 -0.053038
0.841667 -0.090000
0.844444 -0.171962
0.847222 -0.191962
0.850000 -0.155000
0.852778 -0.103038
0.855556 -0.098038
0.858333 -0.140000
0.861111 -0.166962
0.863889 -0.146962
0.866667 -0.125000
0.869444 -0.098038
0.872222 -0.088038
0.875000 -0.125000
0.877778 -0.191962
0.880556 -0.201962
0.883333 -0.130000
0.886111 -0.043038
0.888889 -0.003038
0.891667 -0.050000
0.894444 -0.116962
0.897222 -0.116962
0.900000 -0.080000
0.902778 -0.028038
0.905556 -0.038038
0.908333 -0.090000
0.911111 -0.131962
0.913889 -0.131962
0.916667 -0.080000
0.919444 -0.048038
0.922222 -0.038038
0.925000 -0.075000
0.927778 -0.091962
0.930556 -0.056962
0.933333 0.010000
0.936111 0.071962
0.938889 0.076962
0.941667 0.045000
0.944444 -0.006962
0.947222 -0.006962
0.950000 0.040000
0.952778 0.096962
0.955556 0.106962
0.958333 0.080000
0.961111 0.023038
0.963889 -0.001962
0.966667 -0.010000
0.969444 0.021962
0.972222 0.016962
0.975000 -0.015000
0.977778 -0.041962
0.980556 -0.011962
0.983333 0.065000
0.986111 0.141962
0.988889 0.141962
0.991667 0.065000
0.994444 -0.001962
0.997222 -0.036962
1.000000 -0.005000
1.002778 0.021962
1.005556 0.006962
1.008333 -0.045000
1.011111 -0.096962
1.013889 -0.111962
1.016667 -0.100000
1.019444 -0.043038
1.022222 -0.018038
1.025000 -0.030000
1.027778 -0.086962
1.030556 -0.126962
1.033333 -0.105000
1.036111 -0.043038
1.038889 -0.033038
1.041667 -0.075000
1.044444 -0.151962
1.047222 -0.166962
1.050000 -0.130000
1.052778 -0.073038
1.055556 -0.048038
1.058333 -0.085000
1.061111 -0.131962
1.063889 -0.121962
1.066667 -0.070000
1.069444 -0.023038
1.072222 -0.033038
1.075000 -0.095000
1.077778 -0.141962
1.080556 -0.141962
1.083333 -0.085000
1.086111 -0.023038
1.088889 -0.013038
1.091667 -0.070000
1.094444 -0.166962
1.097222 -0.206962
1.100000 -0.190000
1.102778 -0.153038
1.105556 -0.188038
1.108333 -0.255000
1.111111 -0.281962
1.113889 -0.181962
1.116667 -0.035000
1.119444 0.126962
1.122222 0.266962
1.125000 0.405000
1.127778 0.608038
1.130556 0.808038
1.133333 0.960000
1.136111 0.996962
1.138889 0.861962
1.141667 0.535000
1.144444 0.133038
1.147222 -0.141962
1.150000 -0.235000
1.152778 -0.193038
1.155556 -0.118038
1.158333 -0.105000
1.161111 -0.161962
1.163889 -0.181962
1.166667 -0.140000
1.169444 -0.088038
1.172222 -0.058038
1.175000 -0.090000
1.177778 -0.131962
1.180556 -0.131962
1.183333 -0.115000
1.186111 -0.088038
1.188889 -0.083038
1.191667 -0.115000
1.194444 -0.156962
1.197222 -0.146962
1.200000 -0.110000
1.202778 -0.068038
1.205556 -0.068038
1.208333 -0.120000
1.211111 -0.156962
1.213889 -0.141962
1.216667 -0.095000
1.219444 -0.058038
1.222222 -0.048038
1.225000 -0.085000
1.227778 -0.141962
1.230556 -0.146962
1.233333 -0.110000
1.236111 -0.078038
1.238889 -0.078038
1.241667 -0.115000
1.244444 -0.151962
1.247222 -0.156962
1.250000 -0.115000
1.252778 -0.073038
1.255556 -0.068038
1.258333 -0.125000
1.261111 -0.181962
1.263889 -0.191962
1.266667 -0.145000
1.269444 -0.083038
1.272222 -0.063038
1.275000 -0.100000
1.277778 -0.146962
1.280556 -0.151962
1.283333 -0.110000
1.286111 -0.063038
1.288889 -0.058038
1.291667 -0.090000
1.294444 -0.156962
1.297222 -0.151962
1.300000 -0.110000
1.302778 -0.058038
1.305556 -0.053038
1.308333 -0.105000
1.311111 -0.151962
1.313889 -0.151962
1.316667 -0.115000
1.319444 -0.068038
1.322222 -0.043038
1.325000 -0.095000
1.327778 -0.141962
1.330556 -0.136962
1.333333 -0.095000
1.336111 -0.048038
1.338889 -0.048038
1.341667 -0.100000
1.344444 -0.151962
1.347222 -0.156962
1.350000 -0.125000
1.352778 -0.078038
1.355556 -0.078038
1.358333 -0.125000
1.361111 -0.186962
1.363889 -0.171962
1.366667 -0.135000
1.369444 -0.083038
1.372222 -0.083038
1.375000 -0.125000
1.377778 -0.176962
1.380556 -0.186962
1.383333 -0.150000
1.386111 -0.108038
1.388889 -0.078038
1.391667 -0.100000
1.394444 -0.151962
1.397222 -0.156962
1.400000 -0.105000
1.402778 -0.053038
1.405556 -0.043038
1.408333 -0.110000
1.411111 -0.181962
1.413889 -0.181962
1.416667 -0.135000
1.419444 -0.073038
1.422222 -0.083038
1.425000 -0.105000
1.427778 -0.156962
1.430556 -0.161962
1.433333 -0.130000
1.436111 -0.083038
1.438889 -0.063038
1.441667 -0.105000
1.444444 -0.131962
1.447222 -0.131962
1.450000 -0.080000
1.452778 -0.013038
1.455556 0.021962
1.458333 -0.030000
1.461111 -0.076962
1.463889 -0.086962
1.466667 -0.040000
1.469444 0.021962
1.472222 0.056962
1.475000 0.015000
1.477778 -0.061962
1.480556 -0.071962
1.483333 -0.025000
1.486111 0.011962
1.488889 0.006962
1.491667 -0.055000
1.494444 -0.101962
1.497222 -0.081962
1.500000 -0.030000
1.502778 0.031962
1.505556 0.026962
1.508333 -0.025000
1.511111 -0.056962
1.513889 -0.076962
1.516667 -0.045000
1.519444 -0.013038
1.522222 -0.008038
1.525000 -0.050000
1.527778 -0.091962
1.530556 -0.101962
1.533333 -0.035000
1.536111 0.011962
1.538889 0.021962
1.541667 -0.020000
1.544444 -0.081962
1.547222 -0.086962
1.550000 -0.050000
1.552778 -0.013038
1.555556 -0.003038
1.558333 -0.050000
1.561111 -0.121962
1.563889 -0.111962
1.566667 -0.080000
1.569444 -0.038038
1.572222 -0.033038
1.575000 -0.080000
1.577778 -0.121962
1.580556 -0.131962
1.583333 -0.080000
1.586111 -0.043038
1.588889 -0.023038
1.591667 -0.065000
1.594444 -0.121962
1.597222 -0.126962
1.600000 -0.095000
1.602778 -0.048038
1.605556 -0.053038
1.608333 -0.105000
1.611111 -0.156962
1.613889 -0.161962
1.616667 -0.120000
1.619444 -0.078038
1.622222 -0.068038
1.625000 -0.115000
1.627778 -0.161962
1.630556 -0.156962
1.633333 -0.100000
1.636111 -0.053038
1.638889 -0.053038
1.641667 -0.110000
1.644444 -0.166962
1.647222 -0.166962
1.650000 -0.130000
1.652778 -0.083038
1.655556 -0.083038
1.658333 -0.125000
1.661111 -0.166962
1.663889 -0.146962
1.666667 -0.095000
1.669444 -0.048038
1.672222 -0.043038
1.675000 -0.080000
1.677778 -0.116962
1.680556 -0.121962
1.683333 -0.090000
1.686111 -0.033038
1.688889 -0.018038
1.691667 -0.065000
1.694444 -0.101962
1.697222 -0.111962
1.700000 -0.055000
1.702778 0.006962
1.705556 0.006962
1.708333 -0.040000
1.711111 -0.091962
1.713889 -0.106962
1.716667 -0.060000
1.719444 -0.018038
1.722222 -0.003038
1.725000 -0.055000
1.727778 -0.116962
1.730556 -0.106962
1.733333 -0.055000
1.736111 0.021962
1.738889 0.036962
1.741667 -0.030000
1.744444 -0.101962
1.747222 -0.136962
1.750000 -0.120000
1.752778 -0.068038
1.755556 -0.083038
1.758333 -0.125000
1.761111 -0.186962
1.763889 -0.201962
1.766667 -0.175000
1.769444 -0.128038
1.772222 -0.118038
1.775000 -0.180000
1.777778 -0.236962
1.780556 -0.261962
1.783333 -0.220000
1.786111 -0.163038
1.788889 -0.163038
1.791667 -0.215000
1.794444 -0.266962
1.797222 -0.286962
1.800000 -0.225000
1.802778 -0.183038
1.805556 -0.183038
1.808333 -0.230000
1.811111 -0.286962
1.813889 -0.276962
1.816667 -0.235000
1.819444 -0.178038
1.822222 -0.198038
1.825000 -0.240000
1.827778 -0.286962
1.830556 -0.296962
1.833333 -0.250000
1.836111 -0.188038
1.838889 -0.198038
1.841667 -0.240000
1.844444 -0.301962
1.847222 -0.341962
1.850000 -0.335000
1.852778 -0.313038
1.855556 -0.318038
1.858333 -0.395000
1.861111 -0.481962
1.863889 -0.511962
1.866667 -0.440000
1.869444 -0.288038
1.872222 -0.153038
1.875000 -0.055000
1.877778 0.053038
1.880556 0.268038
1.883333 0.560000
1.886111 0.801962
1.888889 0.946962
1.891667 0.920000
1.894444 0.728038
1.897222 0.443038
1.900000 0.130000
1.902778 -0.148038
1.905556 -0.348038
1.908333 -0.460000
1.911111 -0.526962
1.913889 -0.511962
1.916667 -0.440000
1.919444 -0.358038
1.922222 -0.303038
1.925000 -0.325000
1.927778 -0.381962
1.930556 -0.386962
1.933333 -0.340000
1.936111 -0.288038
1.938889 -0.278038
1.941667 -0.325000
1.944444 -0.376962
1.947222 -0.386962
1.950000 -0.355000
1.952778 -0.303038
1.955556 -0.293038
1.958333 -0.340000
1.961111 -0.396962
1.963889 -0.411962
1.966667 -0.370000
1.969444 -0.318038
1.972222 -0.308038
1.975000 -0.345000
1.977778 -0.406962
1.980556 -0.426962
1.983333 -0.375000
1.986111 -0.323038
1.988889 -0.308038
1.991667 -0.360000
1.994444 -0.416962
1.997222 -0.411962
2.000000 -0.365000
